reviewId,userName,content,score,thumbsUpCount,at,replyContent,repliedAt,version
dd6e4368-b7e7-4a28-8b68-dccdf939045c,Andre Febrian Eltondo,Sangat membantu dalam berpergian dan lebih efisian dalam membeli atau mengatar barang,5,0,2024-05-07T20:17:08,,,4.85.3
706a6da9-a9c0-4e2e-848e-76d28cb44eda,Dian Pringgondani,"Pesan gofood Sekarang lama padahal resto dekat, di aplikasi terlihat sering ganti2 driver, seperti driver nya tidak mau ambil orderan gofood, Tolong kebijakan dari Go-Jek nya agar memberi upah yg layak untuk orderan gofood, saya sering dapat keluhan para driver katanya hanya dapat ongkir 5ribu dari Go-Jek, mungkin karena faktor ongkir 5ribu inilah yg membuat driver malas ambil orderan food, sehingga kami pemesan harus menunggu lama bahkan satu jam untuk orderan jarak dekat",1,0,2024-05-07T20:17:02,"Hai Kak Dian, mohon maaf atas ketidaknyamanannya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Ve",2024-05-07T21:43:45,
603993f5-ba86-43cd-bc40-fe0aa9a9709c,Raja Dicki,sangat membantu dan memudahkan dalam situasi apapun... 👍👍👍,5,0,2024-05-07T19:52:24,,,4.82.1
fa6cb0e8-e9b1-4e6c-9d57-82abf8415ceb,RIZKY ADITYA RIADHI,"sering dapat driver yang malas dan ga jelas apalagi kalo pagi2 mau berangkat kerja driver tidak menuju lokasi yang udah nunggu lama dan langsung dicancel, itu sering tiap pagi",1,0,2024-05-07T19:44:04,"Hai Kak Rizky, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Ve",2024-05-07T20:27:04,
17d68e67-8e6e-40e5-8102-be95952013d0,Yanes Lalaun,Luar biasa dab sangat membantu,5,0,2024-05-07T19:42:00,,,4.86.2
476d7c66-930c-4313-81ad-57ee46b152b3,Muhammad Bisri Amin,"Sangat terbantu dan dipermudah dengan adanya gojek ini. Tapi masih ada kekurangan banyak driver yang masih pilih pilih, jadi saya masih kesusahan karena tidak ada respon dari driver padahal ditempat itu terlihat banyak driver",2,7,2024-05-07T19:38:15,"Mohon maaf atas ketidaknyamanannya, Kak Bisri. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Ve",2024-05-07T20:29:41,4.83.1
8ce9d681-89b1-468e-872f-fddf24505d64,Birry Dinda,"Pesen gocar, diturunin di pinggir jalan, bayar pake gopay udah pas, tbtb ada tagihan parkir di aplikasi. Jelas gamau bayar lah, orang gaada ongkos parkir yang harus saya bayar. Udah bikin laporan di aplikasi tapi udah berhari hari gaada kabar. Gajelas emang",1,0,2024-05-07T18:52:47,"Hai Kak Dinda, mohon maaf atas ketidaknyamanannya. Terkait laporanmu sudah ada tiket dinomor 187506820 dan sedang ditangani oleh tim kami. Kamu dapat melakukan pengecekkan progress-nya di menu My Ticket aplikasi Gopay atau Gojek kamu ya. ^Oca",2024-05-09T18:58:21,
3286ba87-06ac-4f3c-a105-ab363daed6d8,Gabriel Gabs,"Bagaimana ini kok akun saya gk pernah dapet voucher diskon dari awal pakai sampai sekarang, sedangkan di akun yang lain pada dapet voucher diskon",1,0,2024-05-07T18:35:30,"Hai Kak Gabriel, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Ve",2024-05-07T20:20:14,4.78.3
26878980-80ca-4a9e-b4c3-275da50615d2,irwan iwan,"Saya sekarang jarang dapat order padahal bintang saya bagus, apa bisa di bantu untuk dapat order yg besar karena saya butuh buat berobat",5,0,2024-05-07T18:12:05,,,4.86.2
2520b1ec-ca66-4ce3-9a25-eaa286042965,Black Cloud Music,Baik,5,0,2024-05-07T18:04:22,,,4.74.2
