reviewId,userName,content,score,thumbsUpCount,at,replyContent,repliedAt,version
5cf9a2bb-0132-4aa9-a4bb-ad8a2e5cae93,Dead Cell,Sangat terbantu sekali,5,0,2024-11-19T20:14:22,,,5.1.2
e8c2ca21-63c6-42cd-9fd8-65da0d889328,Putri Ambar,"Iyaa tau pakai voucer , tapi kan yang memberi voucer dari pihak gojek . Nunggu pesanan satu jam lebih tidak ada driver yang mau ambil tapi mau di batalkan gabisa . Percuma dong ada call center ? Gaa ngefek",1,0,2024-11-19T20:11:10,"Mohon maaf atas kendalanya, Kak Putri. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Miko",2024-11-19T22:04:24,
7b8c5c40-86a8-4e63-8fb5-69551d4ef5c2,Vallent Mirano,kalo dah ujan susah bener nyari orang nya,1,0,2024-11-19T20:05:20,,,5.1.2
7248ac1a-a725-4bde-8f85-70a298ba85e0,Indah dwi septiyani,"kenapaa yaa ini, aku pesen makanan smpee berkali kali pesenn, smpe di batalin smaaa resto nya gara"" gk dpet driver trussss, sinii lapere butuhhh makanaan, tpi knpaa gk ada yg mauu, ini jugaaa yg adminnyaa tolong di perhatikan konsumen nyaaa, aku dlu sukaa sma gojek gara"" gini di batalin trsss jadi mlessss,",1,0,2024-11-19T20:02:43,"Hai Kak Indah, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Miko",2024-11-19T21:52:02,5.1.2
2f811352-5799-45b3-b1f9-7692c0bed3a9,oktaa rosiatinaa,"Ntah drivernya yang bandel atau apk nya yang jelek, sekarang kalo pesen makanan sering dapet driver dikasih double order! Alhasil makanan sampai udah dingin!!!",1,0,2024-11-19T19:59:48,"Hai Kak Okta, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Miko",2024-11-19T21:49:20,4.99.1
ed28eb6b-9c6e-4796-8a46-525bc68af551,Mazmur Aska,"Ini tlg di perbaiki dalam mencari drivernya , Udah 2 resto hampir ketiga nunggu hmpir 2 jam ga ada yg msuk drivernya untuk ambil pesanan",2,0,2024-11-19T19:57:38,"Mohon maaf atas kendalanya, Kak Mazmur. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Miko",2024-11-19T21:38:03,5.1.2
8b97d8e2-c1a2-4411-9faa-178ace2d8e24,Ramadhan bancin,Hapus order gabungan !!! Karna sangat merugikan driver Kasian drivernya cuma di kasih 2000 padahal custumer bayar ongkir tetap normal sperti biasa,1,4,2024-11-19T19:53:31,"Hai Kak Ramadhan, mohon maaf untuk kendalanya. Laporan yang Anda sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika Anda memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi GoPartner Anda. ^Miko",2024-11-19T21:36:09,5.1.2
1622f32c-93a1-4162-8408-557c95d69850,Muhammad Wira Radithya,"Setiap pesan waktu hujan atau setelah hujan pasti tidak ada gojek yg mau mengambil pesenan saya, ini kenapa ya?",3,0,2024-11-19T19:53:14,"Mohon maaf atas kendalanya, Kak Wira. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Miko",2024-11-19T21:34:12,4.99.1
e26d28e2-8a96-4bf2-a954-476def2ca613,Natha Dhira Winata,"Kecewa, ama para driver pada blagu, gk mau ngambil orderan, udh tunggu sejam gk ada yg mo ambil, tolong di buat ketat aturan, biar sekalian kalau gk ambil bekuin aja akun drivernya",1,0,2024-11-19T19:51:58,,,5.1.2
a40f136e-3c29-4c38-a3e8-0361fad85dcb,Agustina Wardoyo,D saat hujan dan abis hujan pasti susah daper gocarnya,1,0,2024-11-19T19:50:47,"Mohon maaf atas kendalanya, Kak Agustina. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Miko",2024-11-19T21:31:51,5.1.2
7447a72a-ccba-44e3-ab77-7035448faf01,Muhammad Fathurohman,"Saya udah nunggu satu jam drivernya tidak ada satupun yang mau ambil, padahal sudah tidak hujan",1,0,2024-11-19T19:50:25,"Mohon maaf atas kendalanya, Kak Fathurohman. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Miko",2024-11-19T21:29:57,5.1.2
