reviewId,userName,content,score,thumbsUpCount,at,replyContent,repliedAt,version
a68eed41-926a-4ceb-a10a-13792195eac4,widi cahyono,Mantap,5,0,2024-07-13T18:04:26,,,4.90.2
162f9f1d-b20c-45d3-ad3a-bc32a66856e7,Boy Jakarta,gojek gk jelas pelayanannya gk sesuai gara2 akun goceng pelayanan jd buruk,1,0,2024-07-13T18:03:23,"Hai Kak Boy, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Oca",2024-07-13T20:57:28,4.89.1
79c5153d-66a7-4979-a5f2-c35c5c871548,APSTM Arabi & Algazali Pasya Sulaeman,Keren.....naik kereta motor mobil dll jadi Mudah,5,0,2024-07-13T17:56:20,,,4.90.2
88d32ed3-e628-42f5-bbcb-7463bbcb8140,okta selina,"Maaf bintang 1. Gojek Cari driver sekarang susah, lama, kalo di cancel nanti tiba² dateng , karena kita kasian sama drivernya udah jauh² jadi tetep kita bayar",1,0,2024-07-13T17:47:21,,,4.89.1
b5b7248f-b767-49a5-b103-f031e9e11db8,Rita Goliana Karmila,Cepet datengnya hanya klau hujan aja yg lama wajar siii klo habis hujan cpt ya... tapi skrg mahal tarifnya,5,0,2024-07-13T17:42:03,,,
086b44ff-42f9-4c35-873d-9dfd8ce9faed,Roina Purba,Sangat mudah dipakai,5,0,2024-07-13T17:35:36,,,4.90.2
7b122af7-ce45-4a4e-999f-d16c554e4297,Nur Aliffiani,Pelayanan bagus,5,0,2024-07-13T17:16:25,,,4.90.2
2db43922-6524-44ed-8130-f7d0378448dd,Muhammad Mukhlish,"Tanggal 13 Juli 2024 mau pake transportasi GO-JEK lebih dari tiga x ngulang pesen tapi kok pemberitahuannya belum ada gojek di Cirebon,,",5,0,2024-07-13T17:11:47,,,4.86.2
421a34d9-c513-4832-bdbe-bdd872c3089b,Ami Game,mantap diskonnya,5,0,2024-07-13T17:08:35,,,4.89.1
d643764b-7177-4dfe-8d25-c749c53182b4,Sari Aprl,"Ga jelas utk keluhan Gofood, respon nya lama banget. Gofood jam 7mlm udh report kurang item udh fotoin mau mereka trs tbtb ga bls. Besokan jam 4 sore baru minta foto isi makanan nya, ya dah keburu abis lahh udh lbh dr 18jam. Aneh",1,0,2024-07-13T16:57:13,,,4.89.1
6f4451e0-62c9-4513-9ca2-e2430b31f8e3,AW Agus Wahyudi,Masih yg terbaik,5,0,2024-07-13T16:49:59,,,
e605e89b-c86f-4c87-9622-9f6689fd361a,Atta Racing,Sangat membantu,5,0,2024-07-13T16:49:22,,,4.89.1
c4cd316e-e21a-49bd-8a21-dd5af9323df6,suprijadi pri,drivernya sabar banget. Terima kasih,5,0,2024-07-13T16:41:11,,,4.90.2
f35795e5-3a24-4ede-ae8e-06812fbae34f,Ahmad Khoirul88,Cepat,5,0,2024-07-13T16:40:46,,,4.90.2
11a0a2b2-4ee4-4f90-b04a-a067e13a2d27,Abraham Daud,Makin ga jelas gojek pesen makanan sekarang bisa sampe sejam,1,0,2024-07-13T16:34:49,"Hai Kak Daud, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Oca",2024-07-13T17:18:21,4.90.2
5dc3bcb4-d62a-466c-9fbf-34da39570419,JO NATHAN,Menyenangkan. 😊,5,0,2024-07-13T16:27:47,,,4.90.2
8d4ea612-500c-40c0-87c6-692ee98aeddd,Achmad Faiz,Cara claim oder fiktif menyulitkan,1,0,2024-07-13T16:21:53,"Hai Kak Achmad, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Kemudian terkait keluhan yang kakak alami, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek lebih lanjut ya. ^Oca",2024-07-13T17:44:55,
